source_row_number,hora,dia_semana,mes,trimestre,dia_mes,semana_ano,is_horario_comercial,is_fim_de_semana,is_segunda_terca,periodo_dia,lag_1d,lag_7d,rolling_7d,rolling_30d,lag_1d_p2,lag_1d_p3,prioridade_bin,produto_enc,categoria_enc,subcategoria_enc,grupo_enc,aberto_por_enc,produto_freq,grupo_freq,mes_sin,mes_cos,is_feriado,tipo_feriado,dias_ate_feriado,dias_desde_feriado,target_ola
1,18,2,12,4,31,1,0,0,0,3,10.0,40.0,18.43,45.3,5.0,5.0,1,30,104,364,8,0,0.019853,0.080428,-2.4492935982947064e-16,1.0,0,0,7,6,0
2,14,2,12,4,31,1,1,0,0,2,10.0,40.0,18.43,45.3,5.0,5.0,1,23,94,254,12,0,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
3,11,2,12,4,31,1,1,0,0,1,10.0,40.0,18.43,45.3,5.0,5.0,1,22,92,351,12,1,0.319056,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
4,11,2,12,4,31,1,1,0,0,1,10.0,40.0,18.43,45.3,5.0,5.0,1,37,4,249,12,1,0.017782,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
5,7,2,12,4,31,1,0,0,0,1,10.0,40.0,18.43,45.3,5.0,5.0,1,31,117,272,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
6,6,2,12,4,31,1,0,0,0,1,10.0,40.0,18.43,45.3,5.0,5.0,1,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
7,6,2,12,4,31,1,0,0,0,1,10.0,40.0,18.43,45.3,5.0,5.0,1,35,98,230,12,1,0.127364,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
8,4,2,12,4,31,1,0,0,0,0,10.0,40.0,18.43,45.3,5.0,5.0,0,37,4,249,12,0,0.017782,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
9,4,2,12,4,31,1,0,0,0,0,10.0,40.0,18.43,45.3,5.0,5.0,1,35,38,325,2,1,0.127364,0.016219,-2.4492935982947064e-16,1.0,0,0,7,6,1
10,3,2,12,4,31,1,0,0,0,0,10.0,40.0,18.43,45.3,5.0,5.0,1,23,94,351,12,1,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,6,0
11,22,1,12,4,30,1,0,0,1,3,26.0,53.0,22.71,47.1,19.0,7.0,1,35,98,230,8,1,0.127364,0.080428,-2.4492935982947064e-16,1.0,0,0,7,5,0
12,14,1,12,4,30,1,1,0,1,2,26.0,53.0,22.71,47.1,19.0,7.0,0,31,114,379,4,0,0.071635,0.141707,-2.4492935982947064e-16,1.0,0,0,7,5,0
13,13,1,12,4,30,1,1,0,1,2,26.0,53.0,22.71,47.1,19.0,7.0,1,35,98,230,8,1,0.127364,0.080428,-2.4492935982947064e-16,1.0,0,0,7,5,0
14,12,1,12,4,30,1,1,0,1,2,26.0,53.0,22.71,47.1,19.0,7.0,1,31,114,379,12,1,0.071635,0.350633,-2.4492935982947064e-16,1.0,0,0,7,5,0
15,12,1,12,4,30,1,1,0,1,2,26.0,53.0,22.71,47.1,19.0,7.0,0,29,13,123,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,5,0
16,12,1,12,4,30,1,1,0,1,2,26.0,53.0,22.71,47.1,19.0,7.0,0,29,13,147,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,5,0
17,12,1,12,4,30,1,1,0,1,2,26.0,53.0,22.71,47.1,19.0,7.0,0,29,13,123,10,0,0.018993,0.339886,-2.4492935982947064e-16,1.0,0,0,7,5,0
18,9,1,12,4,30,1,1,0,1,1,26.0,53.0,22.71,47.1,19.0,7.0,0,23,94,351,12,0,0.073902,0.350633,-2.4492935982947064e-16,1.0,0,0,7,5,0
19,6,1,12,4,30,1,0,0,1,1,26.0,53.0,22.71,47.1,19.0,7.0,1,31,60,283,8,1,0.071635,0.080428,-2.4492935982947064e-16,1.0,0,0,7,5,0
